Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1, , .1,Attend.,Notes
"Mon, Nov 20, 2017",7:00 pm,Cleveland Cavaliers,116,Detroit Pistons,88,Box Score,,20491.0,
"Mon, Nov 20, 2017",8:00 pm,Portland Trail Blazers,100,Memphis Grizzlies,92,Box Score,,15785.0,
"Mon, Nov 20, 2017",8:00 pm,Washington Wizards,99,Milwaukee Bucks,88,Box Score,,16122.0,
"Mon, Nov 20, 2017",8:00 pm,Oklahoma City Thunder,107,New Orleans Pelicans,114,Box Score,,16765.0,
"Mon, Nov 20, 2017",7:30 pm,Los Angeles Clippers,85,New York Knicks,107,Box Score,,18848.0,
"Mon, Nov 20, 2017",7:00 pm,Indiana Pacers,105,Orlando Magic,97,Box Score,,17239.0,
"Mon, Nov 20, 2017",7:00 pm,Utah Jazz,86,Philadelphia 76ers,107,Box Score,,20587.0,
"Mon, Nov 20, 2017",10:00 pm,Denver Nuggets,114,Sacramento Kings,98,Box Score,,17583.0,
"Mon, Nov 20, 2017",8:30 pm,Atlanta Hawks,85,San Antonio Spurs,96,Box Score,,18418.0,
"Tue, Nov 21, 2017",10:30 pm,Chicago Bulls,94,Los Angeles Lakers,103,Box Score,,18997.0,
"Wed, Nov 22, 2017",7:30 pm,Los Angeles Clippers,116,Atlanta Hawks,103,Box Score,,12675.0,
"Wed, Nov 22, 2017",7:00 pm,Washington Wizards,124,Charlotte Hornets,129,Box Score,OT,16041.0,
"Wed, Nov 22, 2017",7:00 pm,Brooklyn Nets,109,Cleveland Cavaliers,119,Box Score,,20562.0,
"Wed, Nov 22, 2017",8:00 pm,Denver Nuggets,95,Houston Rockets,125,Box Score,,18055.0,
"Wed, Nov 22, 2017",8:00 pm,Dallas Mavericks,95,Memphis Grizzlies,94,Box Score,,16101.0,
"Wed, Nov 22, 2017",7:30 pm,Boston Celtics,98,Miami Heat,104,Box Score,,19704.0,
"Wed, Nov 22, 2017",8:00 pm,Orlando Magic,118,Minnesota Timberwolves,124,Box Score,,16402.0,
"Wed, Nov 22, 2017",8:00 pm,San Antonio Spurs,90,New Orleans Pelicans,107,Box Score,,17539.0,
"Wed, Nov 22, 2017",7:30 pm,Toronto Raptors,100,New York Knicks,108,Box Score,,19812.0,
"Wed, Nov 22, 2017",8:00 pm,Golden State Warriors,91,Oklahoma City Thunder,108,Box Score,,18203.0,
"Wed, Nov 22, 2017",7:00 pm,Portland Trail Blazers,81,Philadelphia 76ers,101,Box Score,,20605.0,
"Wed, Nov 22, 2017",9:00 pm,Milwaukee Bucks,113,Phoenix Suns,107,Box Score,OT,16270.0,
"Wed, Nov 22, 2017",10:30 pm,Los Angeles Lakers,102,Sacramento Kings,113,Box Score,,17583.0,
"Wed, Nov 22, 2017",9:00 pm,Chicago Bulls,80,Utah Jazz,110,Box Score,,17434.0,
"Fri, Nov 24, 2017",7:30 pm,New York Knicks,104,Atlanta Hawks,116,Box Score,,14355.0,
"Fri, Nov 24, 2017",7:30 pm,Orlando Magic,103,Boston Celtics,118,Box Score,,18624.0,
"Fri, Nov 24, 2017",12:00 pm,Portland Trail Blazers,127,Brooklyn Nets,125,Box Score,,15246.0,
"Fri, Nov 24, 2017",8:00 pm,Charlotte Hornets,99,Cleveland Cavaliers,100,Box Score,,20562.0,
"Fri, Nov 24, 2017",9:00 pm,Memphis Grizzlies,92,Denver Nuggets,104,Box Score,,16736.0,
"Fri, Nov 24, 2017",10:30 pm,Chicago Bulls,94,Golden State Warriors,143,Box Score,,19596.0,
"Fri, Nov 24, 2017",8:00 pm,Toronto Raptors,104,Indiana Pacers,107,Box Score,,16523.0,
"Fri, Nov 24, 2017",8:00 pm,Miami Heat,109,Minnesota Timberwolves,97,Box Score,,18978.0,
"Fri, Nov 24, 2017",8:00 pm,Detroit Pistons,99,Oklahoma City Thunder,98,Box Score,,18203.0,
"Fri, Nov 24, 2017",9:00 pm,New Orleans Pelicans,115,Phoenix Suns,91,Box Score,,16574.0,
"Sat, Nov 25, 2017",7:30 pm,Toronto Raptors,112,Atlanta Hawks,78,Box Score,,12278.0,
"Sat, Nov 25, 2017",7:00 pm,San Antonio Spurs,106,Charlotte Hornets,86,Box Score,,18597.0,
"Sat, Nov 25, 2017",8:30 pm,Oklahoma City Thunder,81,Dallas Mavericks,97,Box Score,,20340.0,
"Sat, Nov 25, 2017",8:30 pm,New Orleans Pelicans,95,Golden State Warriors,110,Box Score,,19596.0,
"Sat, Nov 25, 2017",8:00 pm,New York Knicks,102,Houston Rockets,117,Box Score,,18055.0,
"Sat, Nov 25, 2017",8:00 pm,Boston Celtics,108,Indiana Pacers,98,Box Score,,16303.0,
"Sat, Nov 25, 2017",7:00 pm,Orlando Magic,111,Philadelphia 76ers,130,Box Score,,20585.0,
"Sat, Nov 25, 2017",10:00 pm,Los Angeles Clippers,97,Sacramento Kings,95,Box Score,,17583.0,
"Sat, Nov 25, 2017",9:00 pm,Milwaukee Bucks,108,Utah Jazz,121,Box Score,,17298.0,
"Sat, Nov 25, 2017",7:00 pm,Portland Trail Blazers,108,Washington Wizards,105,Box Score,,18092.0,
"Sun, Nov 26, 2017",3:30 pm,Miami Heat,100,Chicago Bulls,93,Box Score,,20928.0,
"Sun, Nov 26, 2017",6:00 pm,Brooklyn Nets,98,Memphis Grizzlies,88,Box Score,,14889.0,
"Sun, Nov 26, 2017",3:30 pm,Phoenix Suns,108,Minnesota Timberwolves,119,Box Score,,16448.0,
"Mon, Nov 27, 2017",7:30 pm,Detroit Pistons,118,Boston Celtics,108,Box Score,,18624.0,
"Mon, Nov 27, 2017",10:30 pm,Sacramento Kings,110,Golden State Warriors,106,Box Score,,19596.0,
"Mon, Nov 27, 2017",8:00 pm,Brooklyn Nets,103,Houston Rockets,117,Box Score,,16189.0,
"Mon, Nov 27, 2017",7:00 pm,Orlando Magic,109,Indiana Pacers,121,Box Score,,12501.0,
"Mon, Nov 27, 2017",10:30 pm,Los Angeles Lakers,115,Los Angeles Clippers,120,Box Score,,18086.0,
"Mon, Nov 27, 2017",7:30 pm,Portland Trail Blazers,103,New York Knicks,91,Box Score,,18409.0,
"Mon, Nov 27, 2017",7:00 pm,Cleveland Cavaliers,113,Philadelphia 76ers,91,Box Score,,20527.0,
"Mon, Nov 27, 2017",8:30 pm,Dallas Mavericks,108,San Antonio Spurs,115,Box Score,,17918.0,
"Tue, Nov 28, 2017",8:00 pm,Phoenix Suns,104,Chicago Bulls,99,Box Score,,18324.0,
"Tue, Nov 28, 2017",7:00 pm,Miami Heat,97,Cleveland Cavaliers,108,Box Score,,20562.0,
"Tue, Nov 28, 2017",8:00 pm,Washington Wizards,92,Minnesota Timberwolves,89,Box Score,,13442.0,
"Tue, Nov 28, 2017",10:00 pm,Milwaukee Bucks,112,Sacramento Kings,87,Box Score,,17583.0,
"Tue, Nov 28, 2017",10:00 pm,Denver Nuggets,77,Utah Jazz,106,Box Score,,16790.0,
"Wed, Nov 29, 2017",8:30 pm,Brooklyn Nets,109,Dallas Mavericks,104,Box Score,,19327.0,
"Wed, Nov 29, 2017",7:00 pm,Phoenix Suns,107,Detroit Pistons,131,Box Score,,18096.0,
"Wed, Nov 29, 2017",8:00 pm,Indiana Pacers,97,Houston Rockets,118,Box Score,,16760.0,
"Wed, Nov 29, 2017",10:30 pm,Golden State Warriors,127,Los Angeles Lakers,123,Box Score,OT,18997.0,
"Wed, Nov 29, 2017",8:00 pm,Minnesota Timberwolves,120,New Orleans Pelicans,102,Box Score,,15555.0,
"Wed, Nov 29, 2017",7:30 pm,Miami Heat,86,New York Knicks,115,Box Score,,17693.0,
"Wed, Nov 29, 2017",7:00 pm,Oklahoma City Thunder,108,Orlando Magic,121,Box Score,,17797.0,
"Wed, Nov 29, 2017",7:00 pm,Washington Wizards,113,Philadelphia 76ers,118,Box Score,,20492.0,
"Wed, Nov 29, 2017",8:30 pm,Memphis Grizzlies,95,San Antonio Spurs,104,Box Score,,18013.0,
"Wed, Nov 29, 2017",7:30 pm,Charlotte Hornets,113,Toronto Raptors,126,Box Score,,19800.0,
"Thu, Nov 30, 2017",7:30 pm,Cleveland Cavaliers,121,Atlanta Hawks,114,Box Score,,16379.0,
"Thu, Nov 30, 2017",7:30 pm,Philadelphia 76ers,97,Boston Celtics,108,Box Score,,18624.0,
"Thu, Nov 30, 2017",9:00 pm,Chicago Bulls,110,Denver Nuggets,111,Box Score,,15156.0,
"Thu, Nov 30, 2017",10:30 pm,Utah Jazz,126,Los Angeles Clippers,107,Box Score,,15139.0,
"Thu, Nov 30, 2017",10:00 pm,Milwaukee Bucks,103,Portland Trail Blazers,91,Box Score,,19459.0,
"Fri, Dec 1, 2017",8:00 pm,Sacramento Kings,107,Chicago Bulls,106,Box Score,,19268.0,
"Fri, Dec 1, 2017",8:00 pm,San Antonio Spurs,95,Memphis Grizzlies,79,Box Score,,16413.0,
"Fri, Dec 1, 2017",8:00 pm,Charlotte Hornets,100,Miami Heat,105,Box Score,,19600.0,
"Fri, Dec 1, 2017",8:00 pm,Minnesota Timberwolves,107,Oklahoma City Thunder,111,Box Score,,18203.0,
"Fri, Dec 1, 2017",7:00 pm,Golden State Warriors,133,Orlando Magic,112,Box Score,,18846.0,
"Fri, Dec 1, 2017",7:30 pm,Indiana Pacers,115,Toronto Raptors,120,Box Score,,19800.0,
"Fri, Dec 1, 2017",9:00 pm,New Orleans Pelicans,108,Utah Jazz,114,Box Score,,17725.0,
"Fri, Dec 1, 2017",7:00 pm,Detroit Pistons,91,Washington Wizards,109,Box Score,,17885.0,
"Sat, Dec 2, 2017",1:00 pm,Phoenix Suns,111,Boston Celtics,116,Box Score,,18624.0,
"Sat, Dec 2, 2017",3:00 pm,Atlanta Hawks,114,Brooklyn Nets,102,Box Score,,13949.0,
"Sat, Dec 2, 2017",7:30 pm,Memphis Grizzlies,111,Cleveland Cavaliers,116,Box Score,,20562.0,
"Sat, Dec 2, 2017",2:00 pm,Los Angeles Clippers,82,Dallas Mavericks,108,Box Score,,19245.0,
"Sat, Dec 2, 2017",9:00 pm,Los Angeles Lakers,100,Denver Nuggets,115,Box Score,,19520.0,
"Sat, Dec 2, 2017",8:30 pm,Sacramento Kings,104,Milwaukee Bucks,109,Box Score,,15581.0,
"Sat, Dec 2, 2017",7:30 pm,Detroit Pistons,103,Philadelphia 76ers,108,Box Score,,20562.0,
"Sat, Dec 2, 2017",10:00 pm,New Orleans Pelicans,123,Portland Trail Blazers,116,Box Score,,18730.0,
"Sun, Dec 3, 2017",9:30 pm,Houston Rockets,118,Los Angeles Lakers,95,Box Score,,18997.0,
"Sun, Dec 3, 2017",7:00 pm,Golden State Warriors,123,Miami Heat,95,Box Score,,19600.0,
"Sun, Dec 3, 2017",7:00 pm,Los Angeles Clippers,106,Minnesota Timberwolves,112,Box Score,,13172.0,
"Sun, Dec 3, 2017",3:30 pm,Orlando Magic,105,New York Knicks,100,Box Score,,19082.0,
"Sun, Dec 3, 2017",7:00 pm,San Antonio Spurs,87,Oklahoma City Thunder,90,Box Score,,18203.0,
"Mon, Dec 4, 2017",7:30 pm,Brooklyn Nets,110,Atlanta Hawks,90,Box Score,,12056.0,
"Mon, Dec 4, 2017",7:30 pm,Milwaukee Bucks,100,Boston Celtics,111,Box Score,,18624.0,
"Mon, Dec 4, 2017",8:00 pm,Cleveland Cavaliers,113,Chicago Bulls,91,Box Score,,21323.0,
"Mon, Dec 4, 2017",7:00 pm,Orlando Magic,94,Charlotte Hornets,104,Box Score,,14419.0,
"Mon, Dec 4, 2017",8:30 pm,Denver Nuggets,105,Dallas Mavericks,122,Box Score,,19419.0,
"Mon, Dec 4, 2017",7:00 pm,New York Knicks,97,Indiana Pacers,115,Box Score,,12018.0,
"Mon, Dec 4, 2017",8:00 pm,Minnesota Timberwolves,92,Memphis Grizzlies,95,Box Score,,14012.0,
"Mon, Dec 4, 2017",8:00 pm,Golden State Warriors,125,New Orleans Pelicans,115,Box Score,,17004.0,
"Mon, Dec 4, 2017",7:00 pm,Phoenix Suns,115,Philadelphia 76ers,101,Box Score,,20564.0,
"Mon, Dec 4, 2017",8:30 pm,Detroit Pistons,93,San Antonio Spurs,96,Box Score,,18288.0,
"Mon, Dec 4, 2017",9:00 pm,Washington Wizards,69,Utah Jazz,116,Box Score,,17227.0,
"Tue, Dec 5, 2017",8:00 pm,Utah Jazz,94,Oklahoma City Thunder,100,Box Score,,18203.0,
"Tue, Dec 5, 2017",10:00 pm,Washington Wizards,106,Portland Trail Blazers,92,Box Score,,19241.0,
"Tue, Dec 5, 2017",7:30 pm,Phoenix Suns,113,Toronto Raptors,126,Box Score,,19800.0,
"Wed, Dec 6, 2017",7:30 pm,Dallas Mavericks,90,Boston Celtics,97,Box Score,,18624.0,
"Wed, Dec 6, 2017",8:00 pm,Golden State Warriors,101,Charlotte Hornets,87,Box Score,,19334.0,
"Wed, Dec 6, 2017",7:00 pm,Sacramento Kings,95,Cleveland Cavaliers,101,Box Score,,20562.0,
"Wed, Dec 6, 2017",7:00 pm,Chicago Bulls,96,Indiana Pacers,98,Box Score,,13013.0,
"Wed, Dec 6, 2017",10:30 pm,Minnesota Timberwolves,113,Los Angeles Clippers,107,Box Score,,15951.0,
"Wed, Dec 6, 2017",8:00 pm,Detroit Pistons,100,Milwaukee Bucks,104,Box Score,,15841.0,
"Wed, Dec 6, 2017",8:00 pm,Denver Nuggets,114,New Orleans Pelicans,123,Box Score,,15353.0,
"Wed, Dec 6, 2017",7:30 pm,Memphis Grizzlies,88,New York Knicks,99,Box Score,,19812.0,
"Wed, Dec 6, 2017",7:00 pm,Atlanta Hawks,106,Orlando Magic,110,Box Score,OT,16167.0,
"Wed, Dec 6, 2017",8:30 pm,Miami Heat,105,San Antonio Spurs,117,Box Score,,18252.0,
"Thu, Dec 7, 2017",10:00 pm,Oklahoma City Thunder,95,Brooklyn Nets,100,Box Score,,20562.0,
"Thu, Dec 7, 2017",8:00 pm,Los Angeles Lakers,107,Philadelphia 76ers,104,Box Score,,20495.0,
"Thu, Dec 7, 2017",9:00 pm,Washington Wizards,109,Phoenix Suns,99,Box Score,,15925.0,
"Thu, Dec 7, 2017",10:30 pm,Houston Rockets,112,Utah Jazz,101,Box Score,,18306.0,
"Fri, Dec 8, 2017",7:00 pm,Chicago Bulls,119,Charlotte Hornets,111,Box Score,OT,14077.0,
"Fri, Dec 8, 2017",7:00 pm,Golden State Warriors,102,Detroit Pistons,98,Box Score,,20491.0,
"Fri, Dec 8, 2017",7:00 pm,Cleveland Cavaliers,102,Indiana Pacers,106,Box Score,,17032.0,
"Fri, Dec 8, 2017",8:00 pm,Toronto Raptors,116,Memphis Grizzlies,107,Box Score,,15417.0,
"Fri, Dec 8, 2017",8:00 pm,Dallas Mavericks,102,Milwaukee Bucks,109,Box Score,,15889.0,
"Fri, Dec 8, 2017",8:00 pm,Sacramento Kings,116,New Orleans Pelicans,109,Box Score,OT,15019.0,
"Fri, Dec 8, 2017",7:00 pm,Denver Nuggets,103,Orlando Magic,89,Box Score,,16024.0,
"Fri, Dec 8, 2017",9:30 pm,Boston Celtics,102,San Antonio Spurs,105,Box Score,,18418.0,
"Sat, Dec 9, 2017",7:30 pm,Orlando Magic,110,Atlanta Hawks,117,Box Score,,12719.0,
"Sat, Dec 9, 2017",6:00 pm,Miami Heat,101,Brooklyn Nets,89,Box Score,,19777.0,
"Sat, Dec 9, 2017",8:00 pm,New York Knicks,102,Chicago Bulls,104,Box Score,,20149.0,
"Sat, Dec 9, 2017",7:00 pm,Los Angeles Lakers,110,Charlotte Hornets,99,Box Score,,19320.0,
"Sat, Dec 9, 2017",8:00 pm,Philadelphia 76ers,98,Cleveland Cavaliers,105,Box Score,,20562.0,
"Sat, Dec 9, 2017",3:30 pm,Washington Wizards,112,Los Angeles Clippers,113,Box Score,,15739.0,
"Sat, Dec 9, 2017",9:00 pm,Oklahoma City Thunder,102,Memphis Grizzlies,101,Box Score,OT,17794.0,
"Sat, Dec 9, 2017",8:30 pm,Utah Jazz,100,Milwaukee Bucks,117,Box Score,,16675.0,
"Sat, Dec 9, 2017",9:00 pm,San Antonio Spurs,104,Phoenix Suns,101,Box Score,,16575.0,
"Sat, Dec 9, 2017",10:00 pm,Houston Rockets,124,Portland Trail Blazers,117,Box Score,,19503.0,
"Sun, Dec 10, 2017",4:00 pm,Boston Celtics,91,Detroit Pistons,81,Box Score,,18776.0,
"Sun, Dec 10, 2017",5:00 pm,Denver Nuggets,116,Indiana Pacers,126,Box Score,OT,14587.0,
"Sun, Dec 10, 2017",7:00 pm,Dallas Mavericks,92,Minnesota Timberwolves,97,Box Score,,13094.0,
"Sun, Dec 10, 2017",7:00 pm,Philadelphia 76ers,124,New Orleans Pelicans,131,Box Score,,16878.0,
"Sun, Dec 10, 2017",7:30 pm,Atlanta Hawks,107,New York Knicks,111,Box Score,,19189.0,
"Sun, Dec 10, 2017",3:30 pm,Toronto Raptors,102,Sacramento Kings,87,Box Score,,17583.0,
"Mon, Dec 11, 2017",8:00 pm,Boston Celtics,85,Chicago Bulls,108,Box Score,,19617.0,
"Mon, Dec 11, 2017",10:30 pm,Portland Trail Blazers,104,Golden State Warriors,111,Box Score,,19596.0,
"Mon, Dec 11, 2017",8:00 pm,New Orleans Pelicans,123,Houston Rockets,130,Box Score,,18055.0,
"Mon, Dec 11, 2017",10:30 pm,Toronto Raptors,91,Los Angeles Clippers,96,Box Score,,16658.0,
"Mon, Dec 11, 2017",8:00 pm,Miami Heat,107,Memphis Grizzlies,82,Box Score,,14857.0,
"Mon, Dec 11, 2017",8:00 pm,Charlotte Hornets,116,Oklahoma City Thunder,103,Box Score,,18203.0,
"Tue, Dec 12, 2017",7:30 pm,Washington Wizards,98,Brooklyn Nets,103,Box Score,,14515.0,
"Tue, Dec 12, 2017",7:00 pm,Atlanta Hawks,114,Cleveland Cavaliers,123,Box Score,,20562.0,
"Tue, Dec 12, 2017",8:30 pm,San Antonio Spurs,89,Dallas Mavericks,95,Box Score,,19874.0,
"Tue, Dec 12, 2017",7:00 pm,Denver Nuggets,103,Detroit Pistons,84,Box Score,,15480.0,
"Tue, Dec 12, 2017",9:30 pm,Philadelphia 76ers,118,Minnesota Timberwolves,112,Box Score,OT,14659.0,
"Tue, Dec 12, 2017",7:00 pm,Los Angeles Lakers,109,New York Knicks,113,Box Score,OT,19359.0,
"Tue, Dec 12, 2017",10:00 pm,Phoenix Suns,92,Sacramento Kings,99,Box Score,,17583.0,
"Wed, Dec 13, 2017",7:30 pm,Denver Nuggets,118,Boston Celtics,124,Box Score,,18624.0,
"Wed, Dec 13, 2017",8:00 pm,Utah Jazz,100,Chicago Bulls,103,Box Score,,18102.0,
"Wed, Dec 13, 2017",9:30 pm,Charlotte Hornets,96,Houston Rockets,108,Box Score,,16509.0,
"Wed, Dec 13, 2017",7:00 pm,Oklahoma City Thunder,100,Indiana Pacers,95,Box Score,,17923.0,
"Wed, Dec 13, 2017",7:30 pm,Portland Trail Blazers,102,Miami Heat,95,Box Score,,19600.0,
"Wed, Dec 13, 2017",8:00 pm,Milwaukee Bucks,108,New Orleans Pelicans,115,Box Score,,16863.0,
"Wed, Dec 13, 2017",7:00 pm,Los Angeles Clippers,106,Orlando Magic,95,Box Score,,16011.0,
"Wed, Dec 13, 2017",9:00 pm,Toronto Raptors,115,Phoenix Suns,109,Box Score,,15517.0,
"Wed, Dec 13, 2017",7:00 pm,Memphis Grizzlies,87,Washington Wizards,93,Box Score,,15297.0,
"Thu, Dec 14, 2017",7:30 pm,Detroit Pistons,105,Atlanta Hawks,91,Box Score,,13548.0,
"Thu, Dec 14, 2017",7:30 pm,New York Knicks,111,Brooklyn Nets,104,Box Score,,17732.0,
"Thu, Dec 14, 2017",8:00 pm,Los Angeles Lakers,112,Cleveland Cavaliers,121,Box Score,,20562.0,
"Thu, Dec 14, 2017",10:30 pm,Dallas Mavericks,97,Golden State Warriors,112,Box Score,,19596.0,
"Thu, Dec 14, 2017",8:00 pm,Sacramento Kings,96,Minnesota Timberwolves,119,Box Score,,11126.0,
"Fri, Dec 15, 2017",7:30 pm,Utah Jazz,107,Boston Celtics,95,Box Score,,18624.0,
"Fri, Dec 15, 2017",7:00 pm,Miami Heat,104,Charlotte Hornets,98,Box Score,,15565.0,
"Fri, Dec 15, 2017",9:00 pm,New Orleans Pelicans,111,Denver Nuggets,117,Box Score,OT,17584.0,
"Fri, Dec 15, 2017",9:30 pm,San Antonio Spurs,109,Houston Rockets,124,Box Score,,18055.0,
"Fri, Dec 15, 2017",7:00 pm,Detroit Pistons,104,Indiana Pacers,98,Box Score,,14687.0,
"Fri, Dec 15, 2017",8:00 pm,Atlanta Hawks,94,Memphis Grizzlies,96,Box Score,,15803.0,
"Fri, Dec 15, 2017",8:00 pm,Chicago Bulls,115,Milwaukee Bucks,109,Box Score,,16921.0,
"Fri, Dec 15, 2017",7:00 pm,Portland Trail Blazers,95,Orlando Magic,88,Box Score,,16963.0,
"Fri, Dec 15, 2017",7:00 pm,Oklahoma City Thunder,119,Philadelphia 76ers,117,Box Score,3OT,20612.0,
"Fri, Dec 15, 2017",7:30 pm,Brooklyn Nets,87,Toronto Raptors,120,Box Score,,19800.0,
"Fri, Dec 15, 2017",7:00 pm,Los Angeles Clippers,91,Washington Wizards,100,Box Score,,15442.0,
"Sat, Dec 16, 2017",7:00 pm,Portland Trail Blazers,93,Charlotte Hornets,91,Box Score,,16687.0,
"Sat, Dec 16, 2017",7:30 pm,Utah Jazz,100,Cleveland Cavaliers,109,Box Score,,20562.0,
"Sat, Dec 16, 2017",8:00 pm,Milwaukee Bucks,111,Houston Rockets,115,Box Score,,18055.0,
"Sat, Dec 16, 2017",9:00 pm,Boston Celtics,102,Memphis Grizzlies,93,Box Score,,17794.0,
"Sat, Dec 16, 2017",8:00 pm,Los Angeles Clippers,85,Miami Heat,90,Box Score,,19600.0,
"Sat, Dec 16, 2017",8:00 pm,Phoenix Suns,108,Minnesota Timberwolves,106,Box Score,,18109.0,
"Sat, Dec 16, 2017",7:30 pm,Oklahoma City Thunder,96,New York Knicks,111,Box Score,,19812.0,
"Sat, Dec 16, 2017",8:30 pm,Dallas Mavericks,96,San Antonio Spurs,98,Box Score,,18418.0,
"Sun, Dec 17, 2017",6:00 pm,Indiana Pacers,109,Brooklyn Nets,97,Box Score,,13934.0,
"Sun, Dec 17, 2017",4:00 pm,Orlando Magic,110,Detroit Pistons,114,Box Score,,16312.0,
"Sun, Dec 17, 2017",3:30 pm,Sacramento Kings,93,Toronto Raptors,108,Box Score,,19800.0,
"Sun, Dec 17, 2017",6:00 pm,Cleveland Cavaliers,106,Washington Wizards,99,Box Score,,20356.0,
"Mon, Dec 18, 2017",7:30 pm,Miami Heat,104,Atlanta Hawks,110,Box Score,,14227.0,
"Mon, Dec 18, 2017",8:00 pm,Philadelphia 76ers,115,Chicago Bulls,117,Box Score,,20796.0,
"Mon, Dec 18, 2017",7:00 pm,New York Knicks,91,Charlotte Hornets,109,Box Score,,15386.0,
"Mon, Dec 18, 2017",8:30 pm,Phoenix Suns,97,Dallas Mavericks,91,Box Score,,19245.0,
"Mon, Dec 18, 2017",8:00 pm,Utah Jazz,99,Houston Rockets,120,Box Score,,18055.0,
"Mon, Dec 18, 2017",7:00 pm,Boston Celtics,112,Indiana Pacers,111,Box Score,,16055.0,
"Mon, Dec 18, 2017",10:30 pm,Golden State Warriors,116,Los Angeles Lakers,114,Box Score,OT,18997.0,
"Mon, Dec 18, 2017",8:00 pm,Portland Trail Blazers,107,Minnesota Timberwolves,108,Box Score,,14187.0,
"Mon, Dec 18, 2017",8:00 pm,Denver Nuggets,94,Oklahoma City Thunder,95,Box Score,,18203.0,
"Mon, Dec 18, 2017",8:30 pm,Los Angeles Clippers,91,San Antonio Spurs,109,Box Score,,18418.0,
"Tue, Dec 19, 2017",8:00 pm,Cleveland Cavaliers,116,Milwaukee Bucks,119,Box Score,,18717.0,
"Tue, Dec 19, 2017",7:00 pm,Sacramento Kings,101,Philadelphia 76ers,95,Box Score,,20558.0,
"Tue, Dec 19, 2017",7:00 pm,New Orleans Pelicans,106,Washington Wizards,116,Box Score,,16529.0,
"Wed, Dec 20, 2017",7:30 pm,Indiana Pacers,105,Atlanta Hawks,95,Box Score,,14830.0,
"Wed, Dec 20, 2017",7:30 pm,Miami Heat,90,Boston Celtics,89,Box Score,,18624.0,
"Wed, Dec 20, 2017",7:30 pm,Sacramento Kings,104,Brooklyn Nets,99,Box Score,,13179.0,
"Wed, Dec 20, 2017",8:00 pm,Orlando Magic,94,Chicago Bulls,112,Box Score,,20285.0,
"Wed, Dec 20, 2017",7:00 pm,Toronto Raptors,129,Charlotte Hornets,111,Box Score,,15023.0,
"Wed, Dec 20, 2017",8:30 pm,Detroit Pistons,93,Dallas Mavericks,110,Box Score,,19580.0,
"Wed, Dec 20, 2017",9:00 pm,Minnesota Timberwolves,112,Denver Nuggets,104,Box Score,,17002.0,
"Wed, Dec 20, 2017",10:30 pm,Memphis Grizzlies,84,Golden State Warriors,97,Box Score,,19596.0,
"Wed, Dec 20, 2017",8:00 pm,Los Angeles Lakers,122,Houston Rockets,116,Box Score,,18055.0,
"Wed, Dec 20, 2017",10:30 pm,Phoenix Suns,95,Los Angeles Clippers,108,Box Score,,17151.0,
"Wed, Dec 20, 2017",8:00 pm,Utah Jazz,79,Oklahoma City Thunder,107,Box Score,,18203.0,
"Wed, Dec 20, 2017",10:00 pm,San Antonio Spurs,93,Portland Trail Blazers,91,Box Score,,19393.0,
"Thu, Dec 21, 2017",7:00 pm,Chicago Bulls,112,Cleveland Cavaliers,115,Box Score,,20562.0,
"Thu, Dec 21, 2017",8:00 pm,Boston Celtics,93,New York Knicks,102,Box Score,,19812.0,
"Thu, Dec 21, 2017",7:00 pm,Toronto Raptors,114,Philadelphia 76ers,109,Box Score,,20680.0,
"Thu, Dec 21, 2017",9:00 pm,Memphis Grizzlies,95,Phoenix Suns,97,Box Score,,16339.0,
"Thu, Dec 21, 2017",10:30 pm,San Antonio Spurs,89,Utah Jazz,100,Box Score,,18306.0,
"Fri, Dec 22, 2017",7:30 pm,Washington Wizards,84,Brooklyn Nets,119,Box Score,,15589.0,
"Fri, Dec 22, 2017",7:00 pm,New York Knicks,101,Detroit Pistons,104,Box Score,,16922.0,
"Fri, Dec 22, 2017",10:30 pm,Los Angeles Lakers,106,Golden State Warriors,113,Box Score,,19596.0,
"Fri, Dec 22, 2017",8:00 pm,Los Angeles Clippers,128,Houston Rockets,118,Box Score,,18055.0,
"Fri, Dec 22, 2017",8:00 pm,Dallas Mavericks,101,Miami Heat,113,Box Score,,19600.0,
"Fri, Dec 22, 2017",8:00 pm,Charlotte Hornets,104,Milwaukee Bucks,109,Box Score,,17018.0,
"Fri, Dec 22, 2017",8:00 pm,Atlanta Hawks,117,Oklahoma City Thunder,120,Box Score,,18203.0,
"Fri, Dec 22, 2017",7:00 pm,New Orleans Pelicans,111,Orlando Magic,97,Box Score,,18846.0,
"Fri, Dec 22, 2017",10:00 pm,Denver Nuggets,102,Portland Trail Blazers,85,Box Score,,19473.0,
"Sat, Dec 23, 2017",7:30 pm,Dallas Mavericks,107,Atlanta Hawks,112,Box Score,,13402.0,
"Sat, Dec 23, 2017",7:30 pm,Chicago Bulls,92,Boston Celtics,117,Box Score,,18624.0,
"Sat, Dec 23, 2017",7:00 pm,Milwaukee Bucks,106,Charlotte Hornets,111,Box Score,,18363.0,
"Sat, Dec 23, 2017",8:30 pm,Denver Nuggets,96,Golden State Warriors,81,Box Score,,19596.0,
"Sat, Dec 23, 2017",7:00 pm,Brooklyn Nets,119,Indiana Pacers,123,Box Score,OT,17107.0,
"Sat, Dec 23, 2017",9:30 pm,Portland Trail Blazers,95,Los Angeles Lakers,92,Box Score,,18997.0,
